1/73 2/73 3/73 4/73 5/73 6/73 7/73 8/73 9/73 10/73 11/73 12/73 13/73 14/73 15/73 16/73 17/73 18/73 19/73 20/73 21/73 22/73 23/73 24/73 25/73 26/73 27/73 28/73 29/73 30/73 31/73 32/73 33/73 34/73 35/73 36/73 37/73 38/73 39/73 40/73 41/73 42/73 43/73 44/73 45/73 46/73 47/73 48/73 49/73 50/73 51/73 52/73 53/73 54/73 55/73 56/73 57/73 58/73 59/73 60/73 61/73 62/73 63/73 64/73 65/73 66/73 67/73 68/73 69/73 70/73 71/73 72/73 73/73 

adresy: 73, nieudane ładowania: 0
naruszenia axe (WCAG A/AA/2.2 AA): {
  "link-in-text-block": 10,
  "color-contrast": 12,
  "nested-interactive": 1
}
elementy w starym #D63031: 0

SZCZEGÓŁY:
/aktualnosci/byd-great-seagull-nowy-ev-hatchback-trafi-do-chin-w-2026-r/ | link-in-text-block ×1 | p:nth-child(13) > a | The link has insufficient color contrast of 1.18:1 with the surrounding text. (Minimum contrast is 3:1, link text: #1b2a
/leasing-samochodu-z-chin/ | PRZESKOK NAGŁÓWKA | 1→3
/samochody/aito/ | color-contrast ×1 | .aa-hub__facts-note | Element has insufficient color contrast of 2.34 (foreground color: #9ca3af, background color: #f5f6f8, font size: 9.0pt 
/samochody/audi/ | color-contrast ×1 | .aa-hub__facts-note | Element has insufficient color contrast of 2.34 (foreground color: #9ca3af, background color: #f5f6f8, font size: 9.0pt 
/samochody/dongfeng-fengshen/ | color-contrast ×1 | .aa-hub__facts-note | Element has insufficient color contrast of 2.34 (foreground color: #9ca3af, background color: #f5f6f8, font size: 9.0pt 
/samochody/exlantix/ | color-contrast ×1 | .aa-hub__facts-note | Element has insufficient color contrast of 2.34 (foreground color: #9ca3af, background color: #f5f6f8, font size: 9.0pt 
/samochody/foton/ | color-contrast ×1 | .aa-hub__facts-note | Element has insufficient color contrast of 2.34 (foreground color: #9ca3af, background color: #f5f6f8, font size: 9.0pt 
/samochody/geely/ | color-contrast ×1 | .aa-hub__facts-note | Element has insufficient color contrast of 2.34 (foreground color: #9ca3af, background color: #f5f6f8, font size: 9.0pt 
/samochody/icar/ | color-contrast ×1 | .aa-hub__facts-note | Element has insufficient color contrast of 2.34 (foreground color: #9ca3af, background color: #f5f6f8, font size: 9.0pt 
/samochody/jetour/ | color-contrast ×1 | .aa-hub__facts-note | Element has insufficient color contrast of 2.34 (foreground color: #9ca3af, background color: #f5f6f8, font size: 9.0pt 
/samochody/leapmotor/ | color-contrast ×1 | .aa-hub__facts-note | Element has insufficient color contrast of 2.34 (foreground color: #9ca3af, background color: #f5f6f8, font size: 9.0pt 
/samochody/li-auto/ | color-contrast ×1 | .aa-hub__facts-note | Element has insufficient color contrast of 2.34 (foreground color: #9ca3af, background color: #f5f6f8, font size: 9.0pt 
/samochody/nio/ | color-contrast ×1 | .aa-hub__facts-note | Element has insufficient color contrast of 2.34 (foreground color: #9ca3af, background color: #f5f6f8, font size: 9.0pt 
/samochody/toyota/ | color-contrast ×1 | .aa-hub__facts-note | Element has insufficient color contrast of 2.34 (foreground color: #9ca3af, background color: #f5f6f8, font size: 9.0pt 
/wiki/blade-battery/ | link-in-text-block ×1 | figcaption > a:nth-child(2) | The link has insufficient color contrast of 2.61:1 with the surrounding text. (Minimum contrast is 3:1, link text: #1b2a
/wiki/catl/ | link-in-text-block ×1 | figcaption > a:nth-child(2) | The link has insufficient color contrast of 2.61:1 with the surrounding text. (Minimum contrast is 3:1, link text: #1b2a
/wiki/chowane-klamki/ | link-in-text-block ×1 | figcaption > a:nth-child(2) | The link has insufficient color contrast of 2.61:1 with the surrounding text. (Minimum contrast is 3:1, link text: #1b2a
/wiki/e-cvt/ | link-in-text-block ×1 | figcaption > a:nth-child(2) | The link has insufficient color contrast of 2.61:1 with the surrounding text. (Minimum contrast is 3:1, link text: #1b2a
/wiki/elektryczny-4x4/ | nested-interactive ×1 | details:nth-child(20) > summary | Element has focusable descendants
/wiki/harman-kardon/ | link-in-text-block ×1 | figcaption > a | The link has insufficient color contrast of 2.61:1 with the surrounding text. (Minimum contrast is 3:1, link text: #1b2a
/wiki/oczyszczacz-powietrza/ | link-in-text-block ×1 | figcaption > a | The link has insufficient color contrast of 2.61:1 with the surrounding text. (Minimum contrast is 3:1, link text: #1b2a
/wiki/tryb-wartownika/ | link-in-text-block ×1 | figcaption > a:nth-child(2) | The link has insufficient color contrast of 2.61:1 with the surrounding text. (Minimum contrast is 3:1, link text: #1b2a
/wiki/wysuwany-podnozek/ | link-in-text-block ×1 | figcaption > a | The link has insufficient color contrast of 2.61:1 with the surrounding text. (Minimum contrast is 3:1, link text: #1b2a
/wiki/zawieszenie-cdc/ | link-in-text-block ×1 | figcaption > a:nth-child(2) | The link has insufficient color contrast of 2.61:1 with the surrounding text. (Minimum contrast is 3:1, link text: #1b2a
