sep=;
#;Listings;Marka (obecna);Marka EU;Model (obecny);Model EU — do `serie` (filtr/URL);Model EU — pełna nazwa (do title/SEO);Alias EU (w tytule);Slug URL huba;Tytuł preview;EU market?;Typ;Uwagi;STATUS
1;78;AITO;AITO;Aito M9;M9;AITO M9;;/samochody/aito/m9/;AITO M9 2025;Y;SUV;flagship | MARKA: Huawei-Seres, w EU pod AITO;
2;54;Xiaomi;Xiaomi;Xiaomi SU7;SU7;Xiaomi SU7;;/samochody/xiaomi/su7/;Xiaomi SU7 2025;Y;sedan;;
3;44;AITO;AITO;Aito M7;M7;AITO M7;;/samochody/aito/m7/;AITO M7 2025;Y;SUV;MARKA: Huawei-Seres, w EU pod AITO;
4;40;AITO;AITO;Aito M8;M8;AITO M8;;/samochody/aito/m8/;AITO M8 2025;Y;SUV;MARKA: Huawei-Seres, w EU pod AITO;
5;39;Geely;Geely;Xingyue L;Monjaro;Geely Monjaro;;/samochody/geely/monjaro/;Geely Monjaro 2025;Y;SUV;Xingyue L = Monjaro w EU (user confirmed) | MARKA: niektóre modele mają EU-names (Monjaro, Preface);
6;32;BYD;BYD;Tang DM;Tang DM-i;BYD Tang DM-i;;/samochody/byd/tang-dm-i/;BYD Tang DM-i 2025;Y;SUV 7-os;;
7;31;Geely;Geely;Xingrui;Preface;Geely Preface;;/samochody/geely/preface/;Geely Preface 2025;Y;sedan;Xingrui = Preface w EU | MARKA: niektóre modele mają EU-names (Monjaro, Preface);
8;30;Hongqi;Hongqi;Hongqi H5;H5;Hongqi H5;;/samochody/hongqi/h5/;Hongqi H5 2025;?;sedan;MARKA: FAW premium, EU mało obecne;
9;29;XPeng;XPENG;XPeng P7+;P7+;XPENG P7+;;/samochody/xpeng/p7-plus/;XPENG P7+ 2025;Y;sedan;MARKA: oficjalnie all-caps;
10;28;AITO;AITO;Aito M5;M5;AITO M5;;/samochody/aito/m5/;AITO M5 2025;Y;SUV;MARKA: Huawei-Seres, w EU pod AITO;
11;27;Chery;Chery;Arrizo 8;Arrizo 8;Chery Arrizo 8;;/samochody/chery/arrizo-8/;Chery Arrizo 8 2025;?;sedan;w EU raczej Omoda/Jaecoo | MARKA: w EU także sub-brandy Omoda/Jaecoo;
12;27;Xiaomi;Xiaomi;Xiaomi YU7;YU7;Xiaomi YU7;;/samochody/xiaomi/yu7/;Xiaomi YU7 2025;Y;SUV;;
13;24;Avatr;Avatr;Avatr 06;06;Avatr 06;;/samochody/avatr/06/;Avatr 06 2025;Y;sedan;MARKA: Changan-Huawei-CATL JV, debiut EU 2024+;
14;24;Changan;Changan;Changan UNI-V;UNI-V;Changan UNI-V;;/samochody/changan/uni-v/;Changan UNI-V 2025;Y;sedan coupe;MARKA: debiut EU 2024+;
15;24;Denza;Denza;Denza D9 DM;D9 DM-i;Denza D9 DM-i;;/samochody/denza/d9-dm-i/;Denza D9 DM-i 2025;Y;MPV;MARKA: BYD-Mercedes JV;
16;21;GAC Trumpchi;GAC;Trumpchi M8;M8;GAC M8;;/samochody/gac/m8/;GAC M8 2025;?;MPV;"MARKA: Trumpchi = CN name; w EU GAC";
17;20;BYD;BYD;Song L EV;Sealion 5 EV;BYD Sealion 5 EV;;/samochody/byd/sealion-5-ev/;BYD Sealion 5 EV 2025;?;SUV;do potwierdzenia EU name;
18;19;Avatr;Avatr;Avatr 12;12;Avatr 12;;/samochody/avatr/12/;Avatr 12 2025;Y;sedan coupe;MARKA: Changan-Huawei-CATL JV, debiut EU 2024+;
19;19;BYD;BYD;Han DM;Han DM-i;BYD Han DM-i;;/samochody/byd/han-dm-i/;BYD Han DM-i 2025;N;sedan;CN-only;
20;18;XPeng;XPENG;XPeng MONA M03;Mona M03;XPENG Mona M03;;/samochody/xpeng/mona-m03/;XPENG Mona M03 2025;Y;sedan;MARKA: oficjalnie all-caps;
21;18;XPeng;XPENG;XPeng X9;X9;XPENG X9;;/samochody/xpeng/x9/;XPENG X9 2025;Y;MPV;MARKA: oficjalnie all-caps;
22;17;BYD;BYD;Seal 06 DM;Seal 06 DM-i;BYD Seal 06 DM-i;;/samochody/byd/seal-06-dm-i/;BYD Seal 06 DM-i 2025;?;sedan;do potwierdzenia;
23;16;Xiaomi;Xiaomi;Xiaomi SU7 Ultra;SU7 Ultra;Xiaomi SU7 Ultra;;/samochody/xiaomi/su7-ultra/;Xiaomi SU7 Ultra 2025;Y;sedan;;
24;16;Zeekr;Zeekr;ZEEKR 7X;7X;Zeekr 7X;;/samochody/zeekr/7x/;Zeekr 7X 2025;Y;SUV;MARKA: Geely premium EV;
25;15;XPeng;XPENG;XPeng G9;G9;XPENG G9;;/samochody/xpeng/g9/;XPENG G9 2025;Y;SUV;MARKA: oficjalnie all-caps;
26;14;BYD;BYD;Song L DM;Sealion 5 DM-i;BYD Sealion 5 DM-i;;/samochody/byd/sealion-5-dm-i/;BYD Sealion 5 DM-i 2025;?;SUV;do potwierdzenia;
27;14;NIO;NIO;NIO ES6;ES6;NIO ES6;;/samochody/nio/es6/;NIO ES6 2025;Y;SUV;MARKA: obecny w EU od 2021;
28;14;NIO;NIO;NIO ES8;ES8;NIO ES8;;/samochody/nio/es8/;NIO ES8 2025;Y;SUV 7-os;MARKA: obecny w EU od 2021;
29;13;BYD;BYD;Song Pro DM;Song Pro DM-i;BYD Song Pro DM-i;;/samochody/byd/song-pro-dm-i/;BYD Song Pro DM-i 2025;N;SUV;CN-focus;
30;13;Galaxy;Geely;Galaxy Xingyao 8 PHEV;Galaxy Starship 8 PHEV;Geely Galaxy Starship 8 PHEV;;/samochody/geely/galaxy-starship-8-phev/;Geely Galaxy Starship 8 PHEV 2025;?;sedan PHEV;"Xingyao 8 = Starship 8 | MARKA: scalone do Geely; nazwa Galaxy zachowana w serie";
31;13;Li Auto;Li Auto;Li Auto L6;L6;Li Auto L6;;/samochody/li-auto/l6/;Li Auto L6 2025;Y;SUV EREV;;
32;12;Avatr;Avatr;Avatr 07;07;Avatr 07;;/samochody/avatr/07/;Avatr 07 2025;Y;SUV;MARKA: Changan-Huawei-CATL JV, debiut EU 2024+;
33;12;Changan;Changan;Changan CS75 PLUS;CS75 Plus;Changan CS75 Plus;;/samochody/changan/cs75-plus/;Changan CS75 Plus 2025;Y;SUV;MARKA: debiut EU 2024+;
34;12;Denza;Denza;Denza Z9 DM;Z9 DM-i;Denza Z9 DM-i;;/samochody/denza/z9-dm-i/;Denza Z9 DM-i 2025;?;shooting brake;MARKA: BYD-Mercedes JV;
35;12;Fangchengbao;BYD;Tai 3;Tai 3;BYD Tai 3;;/samochody/byd/tai-3/;BYD Tai 3 2025;?;SUV mini EV;"MARKA: scalone do BYD; linia Leopard + Tai zachowana w serie";
